id;name;|N|;|E|;avg(deg(n));|Ne|;cycles;|C|;|POSITIVE|;|ONCE|;|NEGATIVE|;|MAX_ONCE|;number_SCC;avg_SCC;CYC
1;1_easy_existing_workflow;21;26;2.48;3;3;2;1;1;0;0;15;1.40;7
2;2_easy_existing_workflow;13;14;2.15;1;2;3;0;1;0;2;9;1.44;3
3;3_easy_existing_workflow;20;25;2.50;1;3;4;1;1;2;0;11;1.82;7
4;4_easy_existing_workflow;20;23;2.30;1;2;3;2;0;0;1;7;2.86;5
5;5_easy_existing_workflow;24;28;2.33;3;1;2;0;1;0;1;22;1.09;6
6;6_easy_existing_workflow;15;18;2.40;1;1;4;2;1;0;1;13;1.15;5
7;7_easy_existing_workflow;18;21;2.33;1;3;4;2;1;0;1;5;3.60;5
8;8_easy_existing_workflow;22;25;2.27;1;0;4;1;1;1;1;22;1.00;5
9;9_easy_existing_workflow;27;32;2.37;1;3;3;1;1;1;0;9;3.00;7
10;10_easy_existing_workflow;16;21;2.63;1;4;4;1;1;1;1;4;4.00;7
11;11_easy_existing_workflow;12;17;2.83;5;1;3;1;1;0;1;11;1.09;7
12;12_easy_existing_workflow;20;23;2.30;1;1;3;1;1;1;0;5;4.00;5
13;13_easy_existing_workflow;20;26;2.60;2;2;3;1;1;1;0;14;1.43;8
14;14_easy_existing_workflow;14;18;2.57;1;0;3;1;1;0;1;14;1.00;6
15;15_easy_existing_workflow;25;31;2.48;1;6;4;2;1;1;0;5;5.00;8
16;16_easy_existing_workflow;13;16;2.46;2;1;4;2;0;2;0;9;1.44;5
17;17_easy_existing_workflow;21;29;2.76;2;3;3;0;2;1;0;16;1.31;10
18;18_easy_existing_workflow;12;13;2.17;1;1;3;1;1;0;1;6;2.00;3
19;19_easy_existing_workflow;12;14;2.33;1;3;3;1;1;0;1;6;2.00;4
20;20_easy_existing_workflow;16;21;2.63;1;4;4;1;1;1;1;5;3.20;7
21;21_easy_existing_workflow;14;17;2.43;1;3;4;3;1;0;0;4;3.50;5
22;22_easy_existing_workflow;19;25;2.63;1;4;3;1;1;0;1;10;1.90;8
