id;name;|N|;|E|;avg(deg(n));|Ne|;cycles;|C|;|POSITIVE|;|ONCE|;|NEGATIVE|;|MAX_ONCE|;number_SCC;avg_SCC;CYC
1;201_hard_existing_workflow;62;135;4.35;1;62;10;8;0;2;0;3;20.67;75
2;202_hard_existing_workflow;76;185;4.87;1;60;5;3;0;2;0;3;25.33;111
3;203_hard_existing_cfg;76;110;2.89;1;2;6;2;2;1;1;72;1.06;36
4;204_hard_existing_cfg;61;97;3.18;1;0;5;3;1;1;0;61;1.00;38
5;205_hard_existing_cfg;68;98;2.88;1;2;5;2;2;1;0;41;1.66;32
6;206_hard_existing_cfg;85;120;2.82;1;9;6;3;1;0;2;23;3.70;37
7;207_hard_existing_cfg;100;141;2.82;1;11;7;5;0;1;1;22;4.55;43
8;208_hard_existing_cfg;75;97;2.59;1;3;5;1;2;2;0;9;8.33;24
9;209_hard_existing_cfg;87;121;2.78;1;8;6;1;1;3;1;50;1.74;36
10;210_hard_existing_cfg;67;94;2.81;1;3;5;0;2;0;3;55;1.22;29
11;211_hard_existing_cfg;91;135;2.97;1;4;7;3;2;0;2;27;3.37;46
12;212_hard_existing_cfg;65;93;2.86;1;7;5;2;2;0;1;24;2.71;30
13;213_hard_existing_cfg;88;115;2.61;1;18;6;1;1;1;3;43;2.05;29
14;214_hard_existing_cfg;108;164;3.04;1;4;8;1;5;2;0;48;2.25;58
15;215_hard_existing_cfg;111;141;2.54;1;24;8;2;3;1;2;13;8.54;32
16;216_hard_existing_cfg;81;108;2.67;1;8;6;3;3;0;0;57;1.42;29
17;217_hard_existing_cfg;99;152;3.07;1;0;7;4;2;0;1;99;1.00;55
18;218_hard_existing_cfg;83;126;3.04;1;4;6;4;2;0;0;46;1.80;45
19;219_hard_existing_cfg;70;94;2.69;1;9;5;1;0;2;2;22;3.18;26
20;220_hard_existing_cfg;77;116;3.01;1;1;6;2;1;2;1;71;1.08;41
21;221_hard_existing_cfg;67;100;2.99;1;1;5;2;1;0;2;53;1.26;35
22;222_hard_existing_cfg;61;88;2.89;1;2;5;1;1;1;2;56;1.09;29
23;223_hard_existing_cfg;98;148;3.02;1;1;7;1;1;4;1;53;1.85;52
24;224_hard_existing_cfg;66;91;2.76;1;11;5;1;2;1;1;18;3.67;27
25;225_hard_existing_cfg;61;82;2.69;1;3;5;0;2;2;1;34;1.79;23
26;226_hard_existing_cfg;63;85;2.70;1;7;5;4;1;0;0;18;3.50;24
27;227_hard_existing_cfg;62;90;2.90;1;2;5;3;0;1;1;8;7.75;30
28;228_hard_existing_cfg;62;89;2.87;1;2;5;2;1;1;1;14;4.43;29
29;229_hard_existing_cfg;88;123;2.80;1;7;6;1;1;1;3;34;2.59;37
30;230_hard_existing_cfg;83;118;2.84;1;0;6;0;2;1;3;83;1.00;37
31;231_hard_existing_cfg;69;90;2.61;1;0;5;2;1;1;1;69;1.00;23
32;232_hard_existing_cfg;80;124;3.10;1;6;6;1;0;1;4;55;1.45;46
33;233_hard_existing_cfg;67;91;2.72;1;1;5;1;1;1;2;47;1.43;26
34;234_hard_existing_cfg;110;157;2.85;1;6;8;2;4;0;2;98;1.12;49
35;235_hard_existing_cfg;88;116;2.64;1;16;6;0;2;2;2;10;8.80;30
36;236_hard_existing_cfg;82;103;2.51;1;20;6;2;1;1;2;30;2.73;23
37;237_hard_existing_cfg;70;95;2.71;1;6;5;2;1;2;0;35;2.00;27
38;238_hard_existing_cfg;102;136;2.67;1;18;7;2;2;1;2;21;4.86;36
39;239_hard_existing_cfg;95;138;2.91;1;2;7;4;2;1;0;89;1.07;45
40;240_hard_existing_cfg;67;92;2.75;1;2;5;0;4;0;1;62;1.08;27
41;241_hard_existing_cfg;66;97;2.94;1;4;5;1;3;0;1;20;3.30;33
42;242_hard_existing_cfg;62;100;3.23;1;1;5;0;2;3;0;7;8.86;40
43;243_hard_existing_cfg;65;105;3.23;1;1;5;2;0;0;3;5;13.00;42
44;244_hard_existing_cfg;67;98;2.93;1;3;5;1;2;2;0;53;1.26;33
45;245_hard_existing_cfg;96;146;3.04;1;4;7;3;2;1;1;23;4.17;52
46;246_hard_existing_cfg;97;127;2.62;1;1;7;3;1;2;1;95;1.02;32
47;247_hard_existing_cfg;79;104;2.63;1;0;6;1;1;3;1;79;1.00;27
48;248_hard_existing_cfg;73;95;2.60;1;1;5;1;1;1;2;71;1.03;24
49;249_hard_existing_cfg;63;82;2.60;1;0;5;2;1;0;2;63;1.00;21
