id;name;|N|;|E|;avg(deg(n));|Ne|;cycles;|C|;|POSITIVE|;|ONCE|;|NEGATIVE|;|MAX_ONCE|;number_SCC;avg_SCC;CYC
1;101_medium_existing_workflow;37;51;2.76;2;1;3;0;3;0;0;5;7.40;16
2;102_medium_existing_workflow;31;36;2.32;5;3;3;1;1;1;0;16;1.94;7
3;103_medium_existing_workflow;31;35;2.26;5;1;4;2;1;1;0;30;1.03;6
4;104_medium_existing_workflow;31;39;2.52;1;5;4;2;1;1;0;18;1.72;10
5;105_medium_existing_workflow;33;40;2.42;2;7;3;0;2;1;0;17;1.94;9
6;106_medium_existing_workflow;35;54;3.09;1;7;4;2;1;1;0;10;3.50;21
7;107_medium_existing_workflow;39;126;6.46;1;61;4;2;0;2;0;3;13.00;89
8;108_medium_existing_workflow;35;68;3.89;1;25;4;1;1;2;0;10;3.50;35
9;109_medium_existing_workflow;55;103;3.75;1;36;4;2;0;2;0;3;18.33;50
10;110_medium_existing_workflow;37;49;2.65;1;0;5;2;2;0;1;37;1.00;14
11;111_medium_existing_workflow;35;45;2.57;1;10;3;1;1;1;0;4;8.75;12
12;112_medium_existing_workflow;32;37;2.31;3;2;3;0;2;0;1;26;1.23;7
13;113_medium_existing_cfg;43;82;3.81;5;6;3;1;1;0;1;22;1.95;41
14;114_medium_existing_cfg;37;51;2.76;1;4;3;1;1;0;1;29;1.28;16
15;115_medium_existing_cfg;38;55;2.89;1;0;3;0;1;1;1;38;1.00;19
16;116_medium_existing_cfg;40;56;2.80;1;3;3;1;0;2;0;34;1.18;18
17;117_medium_existing_cfg;48;93;3.88;1;7;4;3;0;0;1;39;1.23;47
18;118_medium_existing_cfg;39;50;2.56;1;7;3;0;1;0;2;17;2.29;13
19;119_medium_existing_cfg;47;69;2.94;1;3;4;1;2;0;1;4;11.75;24
20;120_medium_existing_cfg;32;48;3.00;1;1;3;0;0;2;1;19;1.68;18
21;121_medium_existing_cfg;35;47;2.69;1;4;3;1;1;1;0;21;1.67;14
22;122_medium_existing_cfg;48;63;2.63;1;8;4;1;0;1;2;24;2.00;17
23;123_medium_existing_cfg;32;43;2.69;1;6;3;2;1;0;0;10;3.20;13
24;124_medium_existing_cfg;48;68;2.83;1;0;4;2;1;0;1;48;1.00;22
25;125_medium_existing_cfg;54;78;2.89;1;3;4;0;1;3;0;15;3.60;26
26;126_medium_existing_cfg;55;74;2.69;1;10;4;1;2;1;0;35;1.57;21
27;127_medium_existing_cfg;48;66;2.75;1;6;4;1;0;1;2;30;1.60;20
28;128_medium_existing_cfg;39;55;2.82;1;3;3;1;1;0;1;28;1.39;18
29;129_medium_existing_cfg;60;83;2.77;1;7;4;1;1;1;1;28;2.14;25
30;130_medium_existing_cfg;39;52;2.67;1;4;3;1;1;0;1;10;3.90;15
31;131_medium_existing_cfg;38;58;3.05;1;2;3;0;1;0;2;12;3.17;22
32;132_medium_existing_cfg;60;80;2.67;1;5;4;1;1;1;1;44;1.36;22
