Instance name;Instance identification;Repository url;Function declaration
73_easy_existing_cfg;awesome-llm-apps - TaskService.create_task;https://github.com/Shubhamsaboo/awesome-llm-apps.git;TaskService.create_task
74_easy_existing_cfg;"Bento4 - AP4_Result AP4_LinearReader::ReadNextSample(AP4_Sample &sample, AP4_DataBuffer *sample_data""";https://github.com/axiomatic-systems/Bento4.git;"AP4_Result AP4_LinearReader::ReadNextSample(AP4_Sample &sample, AP4_DataBuffer *sample_data"""
75_easy_existing_cfg;C-Plus-Plus - node *RBtree::successor(node *p);https://github.com/TheAlgorithms/C-Plus-Plus.git;node *RBtree::successor(node *p)
76_easy_existing_cfg;filament - std::unique_ptr<Instruction> ConstantManager::CreateInstruction(uint32_t id, const Consta;https://github.com/google/filament.git;std::unique_ptr<Instruction> ConstantManager::CreateInstruction(uint32_t id, const Consta
77_easy_existing_cfg;flatbuffers - CheckedError Parser::ParseProtoCurliesOrIdent();https://github.com/google/flatbuffers.git;CheckedError Parser::ParseProtoCurliesOrIdent()
78_easy_existing_cfg;gperftools - void TCMallocTest_NAllocXAlignment_Test::TestBody();https://github.com/gperftools/gperftools.git;void TCMallocTest_NAllocXAlignment_Test::TestBody()
79_easy_existing_cfg;librealsense - void show_preview(const rect &r, const rect &normalized_zoom = rect{0, 0, 1, 1});https://github.com/IntelRealSense/librealsense.git;void show_preview(const rect &r, const rect &normalized_zoom = rect{0, 0, 1, 1})
80_easy_existing_cfg;LIEF - void Binary::sort_segments();https://github.com/lief-project/LIEF.git;void Binary::sort_segments()
81_easy_existing_cfg;MNN - static void MNNGridSampleInterpGrad(float *outputPtr, float *inputPtr, const float *cordPtr, s;https://github.com/alibaba/MNN.git;static void MNNGridSampleInterpGrad(float *outputPtr, float *inputPtr, const float *cordPtr, s
82_easy_existing_cfg;mold - template<> static bool is_known_section_type<mold::X86_64>(const ElfShdr<X86_64> &shdr);https://github.com/rui314/mold.git;template<> static bool is_known_section_type<mold::X86_64>(const ElfShdr<X86_64> &shdr)
83_easy_existing_cfg;mujoco - static void BM_factorI(benchmark::State &state, bool legacy, bool coil);https://github.com/google-deepmind/mujoco.git;static void BM_factorI(benchmark::State &state, bool legacy, bool coil)
84_easy_existing_cfg;Open3D - void ImGuiInputTextCallbackData::InsertChars(int pos, const char *new_text, const char *new;https://github.com/isl-org/Open3D.git;void ImGuiInputTextCallbackData::InsertChars(int pos, const char *new_text, const char *new
85_easy_existing_cfg;root - bool CSKYTargetInfo::handleTargetFeatures(std::vector<std::string> &Features, DiagnosticsEngi;https://github.com/root-project/root.git;bool CSKYTargetInfo::handleTargetFeatures(std::vector<std::string> &Features, DiagnosticsEngi
86_easy_existing_cfg;SFML - void Http::Response::parseFields(std::istream &in);https://github.com/SFML/SFML.git;void Http::Response::parseFields(std::istream &in)
87_easy_existing_cfg;thrift - void t_json_generator::generate_function(t_function *tfunc);https://github.com/apache/thrift.git;void t_json_generator::generate_function(t_function *tfunc)
88_easy_existing_cfg;TrinityCore - static bool intersectSegCountour(const int *d0, const int *d1, int i, int n, const int;https://github.com/TrinityCore/TrinityCore.git;static bool intersectSegCountour(const int *d0, const int *d1, int i, int n, const int
89_easy_existing_cfg;VTK - static bool is_rel_or_absolute_filename(const char *name);https://github.com/Kitware/VTK.git;static bool is_rel_or_absolute_filename(const char *name)
90_easy_existing_cfg;z3 - bool pdd_manager::common_factors(const pdd &a, const pdd &b, unsigned_vector &p, unsigned_vecto;https://github.com/Z3Prover/z3.git;bool pdd_manager::common_factors(const pdd &a, const pdd &b, unsigned_vector &p, unsigned_vecto
113_medium_existing_cfg;awesome-llm-apps - poll_for_completion;https://github.com/Shubhamsaboo/awesome-llm-apps.git;poll_for_completion
114_medium_existing_cfg;Bento4 - AP4_Result AP4_Dac4Atom::Ac4Dsi::PresentationV1::ParseEmdInfo(AP4_BitReader &bits, AP4_Ac4E;https://github.com/axiomatic-systems/Bento4.git;AP4_Result AP4_Dac4Atom::Ac4Dsi::PresentationV1::ParseEmdInfo(AP4_BitReader &bits, AP4_Ac4E
115_medium_existing_cfg;Bento4 - AP4_Result AP4_Eac3Parser::FindFrame(AP4_Eac3Frame &frame);https://github.com/axiomatic-systems/Bento4.git;AP4_Result AP4_Eac3Parser::FindFrame(AP4_Eac3Frame &frame)
116_medium_existing_cfg;Bento4 - AP4_Result AP4_HevcSequenceParameterSet::Parse(const unsigned char *data, unsigned int data;https://github.com/axiomatic-systems/Bento4.git;AP4_Result AP4_HevcSequenceParameterSet::Parse(const unsigned char *data, unsigned int data
117_medium_existing_cfg;browser-use - TestParamsModelArgsAndKwargs.test_browser_session_double_kwarg;https://github.com/browser-use/browser-use.git;TestParamsModelArgsAndKwargs.test_browser_session_double_kwarg
118_medium_existing_cfg;bullet3 - int overhull(Plane *planes, int planes_count, float3 *verts, int verts_count, int maxplane;https://github.com/bulletphysics/bullet3.git;int overhull(Plane *planes, int planes_count, float3 *verts, int verts_count, int maxplane
119_medium_existing_cfg;bullet3 - static void stbtt__fill_active_edges_new(float *scanline, float *scanline_fill, int len, s;https://github.com/bulletphysics/bullet3.git;static void stbtt__fill_active_edges_new(float *scanline, float *scanline_fill, int len, s
120_medium_existing_cfg;bullet3 - template<> static int btDiscoverPortal<btMprConvexWrap>(const btMprConvexWrap &a, const bt;https://github.com/bulletphysics/bullet3.git;template<> static int btDiscoverPortal<btMprConvexWrap>(const btMprConvexWrap &a, const bt
121_medium_existing_cfg;bullet3 - void btCompoundCollisionAlgorithm::processCollision(const btCollisionObjectWrapper *body0W;https://github.com/bulletphysics/bullet3.git;void btCompoundCollisionAlgorithm::processCollision(const btCollisionObjectWrapper *body0W
122_medium_existing_cfg;bullet3 - void initDNA(const char *bdnaOrg, int dnalen);https://github.com/bulletphysics/bullet3.git;void initDNA(const char *bdnaOrg, int dnalen)
123_medium_existing_cfg;bullet3 - void triangleClipped(mat<4, 3, float> &clipc, mat<4, 3, float> &orgClipc, IShader &shader,;https://github.com/bulletphysics/bullet3.git;void triangleClipped(mat<4, 3, float> &clipc, mat<4, 3, float> &orgClipc, IShader &shader,
124_medium_existing_cfg;Cinder - bool ImGui::SplitterBehavior(const ImRect &bb, ImGuiID id, ImGuiAxis axis, float *size1, fl;https://github.com/cinder/Cinder.git;bool ImGui::SplitterBehavior(const ImRect &bb, ImGuiID id, ImGuiAxis axis, float *size1, fl
125_medium_existing_cfg;Cinder - static void SplitString(vector<string> &_OutSplits, const char *_String, int _Width, const ;https://github.com/cinder/Cinder.git;static void SplitString(vector<string> &_OutSplits, const char *_String, int _Width, const 
126_medium_existing_cfg;Cinder - void Lines::process(SourceModsContext *ctx, const AttribSet &requestedAttribs) const;https://github.com/cinder/Cinder.git;void Lines::process(SourceModsContext *ctx, const AttribSet &requestedAttribs) const
127_medium_existing_cfg;duckdb - Regexp *CoalesceWalker::PostVisit(Regexp *re, Regexp *parent_arg, Regexp *pre_arg, Regexp *;https://github.com/duckdb/duckdb.git;Regexp *CoalesceWalker::PostVisit(Regexp *re, Regexp *parent_arg, Regexp *pre_arg, Regexp *
128_medium_existing_cfg;duckdb - RelationStats RelationStatisticsHelper::CombineStatsOfNonReorderableOperator(LogicalOperato;https://github.com/duckdb/duckdb.git;RelationStats RelationStatisticsHelper::CombineStatsOfNonReorderableOperator(LogicalOperato
129_medium_existing_cfg;duckdb - SourceResultType PhysicalAsOfJoin::GetData(ExecutionContext &context, DataChunk &chunk, Ope;https://github.com/duckdb/duckdb.git;SourceResultType PhysicalAsOfJoin::GetData(ExecutionContext &context, DataChunk &chunk, Ope
130_medium_existing_cfg;duckdb - static inline void CreateCommands(const uint8_t *input, size_t block_size, size_t input_siz;https://github.com/duckdb/duckdb.git;static inline void CreateCommands(const uint8_t *input, size_t block_size, size_t input_siz
131_medium_existing_cfg;duckdb - static inline void FindLongestMatchH5(H5 *self, const BrotliEncoderDictionary *dictionary, ;https://github.com/duckdb/duckdb.git;static inline void FindLongestMatchH5(H5 *self, const BrotliEncoderDictionary *dictionary, 
132_medium_existing_cfg;duckdb - template<> int snprintf_float<double>(double value, int precision, float_specs specs, buffe;https://github.com/duckdb/duckdb.git;template<> int snprintf_float<double>(double value, int precision, float_specs specs, buffe
133_medium_existing_cfg;duckdb - unique_ptr<NodeStatistics> StatisticsPropagator::PropagateStatistics(LogicalGet &get, uniqu;https://github.com/duckdb/duckdb.git;unique_ptr<NodeStatistics> StatisticsPropagator::PropagateStatistics(LogicalGet &get, uniqu
134_medium_existing_cfg;falco - void falco_engine::list_fields(const std::string &source, bool verbose, bool names_only, boo;https://github.com/falcosecurity/falco.git;void falco_engine::list_fields(const std::string &source, bool verbose, bool names_only, boo
